RRTstar_ml: cost: 393.02; iterations: 7800
RRTstar_ml: cost: 393.02; iterations: 7830
RRTstar_ml: cost: 393.02; iterations: 7831
RRTstar_ml: cost: 393.02; iterations: 7834
RRTstar_ml: cost: 393.02; iterations: 7861
RRTstar_ml: cost: 393.02; iterations: 7886
RRTstar_ml: cost: 393.02; iterations: 7893
RRTstar_ml: cost: 393.02; iterations: 7900
RRTstar_ml: cost: 393.02; iterations: 7904
RRTstar_ml: cost: 393.02; iterations: 7958
RRTstar_ml: cost: 393.02; iterations: 7982
RRTstar_ml: cost: 393.02; iterations: 7995
RRTstar_ml: cost: 393.02; iterations: 8000
RRTstar_ml: cost: 393.02; iterations: 8019
RRTstar_ml: cost: 393.02; iterations: 8046
RRTstar_ml: cost: 393.02; iterations: 8051
RRTstar_ml: cost: 393.02; iterations: 8056
RRTstar_ml: cost: 393.02; iterations: 8064
RRTstar_ml: cost: 393.02; iterations: 8066
RRTstar_ml: cost: 393.02; iterations: 8067
RRTstar_ml: cost: 393.02; iterations: 8075
RRTstar_ml: cost: 393.02; iterations: 8080
RRTstar_ml: cost: 393.02; iterations: 8082
RRTstar_ml: cost: 393.02; iterations: 8086
RRTstar_ml: cost: 393.02; iterations: 8100
RRTstar_ml: cost: 393.02; iterations: 8108
RRTstar_ml: cost: 393.02; iterations: 8110
RRTstar_ml: cost: 393.02; iterations: 8200
RRTstar_ml: cost: 393.02; iterations: 8223
RRTstar_ml: cost: 393.02; iterations: 8245
RRTstar_ml: cost: 393.02; iterations: 8251
RRTstar_ml: cost: 393.02; iterations: 8275
RRTstar_ml: cost: 393.02; iterations: 8289
RRTstar_ml: cost: 393.02; iterations: 8293
RRTstar_ml: cost: 393.02; iterations: 8300
RRTstar_ml: cost: 393.02; iterations: 8346
RRTstar_ml: cost: 393.02; iterations: 8375
RRTstar_ml: cost: 393.02; iterations: 8378
RRTstar_ml: cost: 393.02; iterations: 8400
RRTstar_ml: cost: 393.02; iterations: 8434
RRTstar_ml: cost: 393.02; iterations: 8465
RRTstar_ml: cost: 393.02; iterations: 8469
RRTstar_ml: cost: 393.02; iterations: 8500
RRTstar_ml: cost: 393.02; iterations: 8500
RRTstar_ml: cost: 393.02; iterations: 8511
RRTstar_ml: cost: 393.02; iterations: 8558
RRTstar_ml: cost: 393.02; iterations: 8589
RRTstar_ml: cost: 393.02; iterations: 8600
RRTstar_ml: cost: 393.02; iterations: 8628
RRTstar_ml: cost: 393.02; iterations: 8631
RRTstar_ml: cost: 393.02; iterations: 8635
RRTstar_ml: cost: 392.76; iterations: 8653
RRTstar_ml: cost: 392.76; iterations: 8687
RRTstar_ml: cost: 392.76; iterations: 8689
RRTstar_ml: cost: 392.76; iterations: 8700
RRTstar_ml: cost: 392.76; iterations: 8708
RRTstar_ml: cost: 392.76; iterations: 8731
RRTstar_ml: cost: 392.76; iterations: 8800
RRTstar_ml: cost: 392.76; iterations: 8828
RRTstar_ml: cost: 392.76; iterations: 8833
RRTstar_ml: cost: 392.76; iterations: 8882
RRTstar_ml: cost: 392.76; iterations: 8883
RRTstar_ml: cost: 392.76; iterations: 8884
RRTstar_ml: cost: 392.76; iterations: 8900
RRTstar_ml: cost: 392.76; iterations: 8903
RRTstar_ml: cost: 392.76; iterations: 8910
RRTstar_ml: cost: 392.76; iterations: 8914
RRTstar_ml: cost: 392.76; iterations: 8956
RRTstar_ml: cost: 392.76; iterations: 8970
RRTstar_ml: cost: 392.76; iterations: 8973
RRTstar_ml: cost: 392.76; iterations: 8993
RRTstar_ml: cost: 392.76; iterations: 9000
RRTstar_ml: cost: 392.76; iterations: 9022
RRTstar_ml: cost: 392.76; iterations: 9037
RRTstar_ml: cost: 392.76; iterations: 9038
RRTstar_ml: cost: 392.76; iterations: 9044
